,data_ingestion,data_transformation,model_training
features_shape,"(4269, 11)",,
target_shape,"(4269,)",,
ingested_data_path,artifacts/ingested_data,,
transformed_features_shape,,"(4269, 16)",
transformed_data_path,,artifacts/transformed_data,
Test Accuracy,,,"{'Logistic Regression': 0.7283372365339579, 'Decision Tree': 0.9953161592505855, 'Random Forest': 0.9988290398126464, 'XGBoost': 0.9964871194379391, 'LightGBM': 0.9953161592505855, 'CatBoost': 0.9929742388758782, 'SVC': 0.6276346604215457, 'KNN': 0.5597189695550351, 'Naive Bayes': 0.629976580796253, 'MLP': 0.563231850117096, 'AdaBoost': 0.9859484777517564, 'Extra Trees': 0.9754098360655737}"
Precision,,,"{'Logistic Regression': 0.7146892655367232, 'Decision Tree': 0.99812734082397, 'Random Forest': 0.9981378026070763, 'XGBoost': 0.9962756052141527, 'LightGBM': 0.9944237918215614, 'CatBoost': 0.9962546816479401, 'SVC': 0.6276346604215457, 'KNN': 0.6294498381877023, 'Naive Bayes': 0.6291079812206573, 'MLP': 0.6412478336221837, 'AdaBoost': 0.9924812030075187, 'Extra Trees': 0.9795158286778398}"
Recall,,,"{'Logistic Regression': 0.9440298507462687, 'Decision Tree': 0.9944029850746269, 'Random Forest': 1.0, 'XGBoost': 0.9981343283582089, 'LightGBM': 0.9981343283582089, 'CatBoost': 0.9925373134328358, 'SVC': 1.0, 'KNN': 0.7257462686567164, 'Naive Bayes': 1.0, 'MLP': 0.6902985074626866, 'AdaBoost': 0.9850746268656716, 'Extra Trees': 0.9813432835820896}"
F1 Score,,,"{'Logistic Regression': 0.8135048231511254, 'Decision Tree': 0.9962616822429907, 'Random Forest': 0.9990680335507922, 'XGBoost': 0.9972041006523764, 'LightGBM': 0.9962756052141527, 'CatBoost': 0.9943925233644859, 'SVC': 0.7712230215827338, 'KNN': 0.6741767764298093, 'Naive Bayes': 0.7723342939481268, 'MLP': 0.664869721473495, 'AdaBoost': 0.9887640449438201, 'Extra Trees': 0.9804287045666356}"
MCC,,,"{'Logistic Regression': 0.39654626772716045, 'Decision Tree': 0.9900045429816164, 'Random Forest': 0.9974963681566317, 'XGBoost': 0.9924828205649032, 'LightGBM': 0.989978973715977, 'CatBoost': 0.9850005545365218, 'SVC': 0.0, 'KNN': 0.006076021685600664, 'Naive Bayes': 0.06290193931780833, 'MLP': 0.040641460643364304, 'AdaBoost': 0.9700632035433927, 'Extra Trees': 0.9473608922393473}"
Confusion Matrix,,,"{'Logistic Regression': array([116, 202,  30, 506]), 'Decision Tree': array([317,   1,   3, 533]), 'Random Forest': array([317,   1,   0, 536]), 'XGBoost': array([316,   2,   1, 535]), 'LightGBM': array([315,   3,   1, 535]), 'CatBoost': array([316,   2,   4, 532]), 'SVC': array([  0, 318,   0, 536]), 'KNN': array([ 89, 229, 147, 389]), 'Naive Bayes': array([  2, 316,   0, 536]), 'MLP': array([111, 207, 166, 370]), 'AdaBoost': array([314,   4,   8, 528]), 'Extra Trees': array([307,  11,  10, 526])}"
